rank,strategy,params,trades,win_rate,profit_factor,sharpe_ratio,total_pnl,final_equity,score
33,EMA_CROSSOVER,"{'ema_fast': 3, 'ema_slow': 7, 'sl_pips': 3, 'tp_pips': 4}",397,50.62972292191436,0.15700692041470535,-6.708592765734749,-974.4999999999482,4025.500000000052,0.10440806045340051
34,EMA_CROSSOVER,"{'ema_fast': 3, 'ema_slow': 7, 'sl_pips': 3, 'tp_pips': 5}",397,50.62972292191436,0.21272285251182438,-6.090906161340185,-971.4999999999691,4028.500000000031,0.10440806045340051
35,EMA_CROSSOVER,"{'ema_fast': 3, 'ema_slow': 10, 'sl_pips': 3, 'tp_pips': 4}",329,50.15197568389058,0.1544421487598402,-6.143433681853061,-818.4999999999764,4181.500000000024,0.10106382978723409
36,EMA_CROSSOVER,"{'ema_fast': 3, 'ema_slow': 10, 'sl_pips': 3, 'tp_pips': 5}",329,50.15197568389058,0.2093810444871275,-5.5850477157449046,-817.4999999999909,4182.500000000009,0.10106382978723409
37,MACD,"{'macd_fast': 8, 'macd_slow': 17, 'macd_signal': 5, 'sl_pips': 2, 'tp_pips': 5}",2666,38.747186796699175,0.3712355351107737,-11.511318784958233,-4374.000000005126,625.9999999948741,0.1
38,MACD,"{'macd_fast': 8, 'macd_slow': 17, 'macd_signal': 5, 'sl_pips': 3, 'tp_pips': 5}",2666,44.5986496624156,0.3238089472729855,-0.6099292734690658,-5584.999999994907,-584.9999999949068,0.1
39,MACD,"{'macd_fast': 8, 'macd_slow': 17, 'macd_signal': 7, 'sl_pips': 2, 'tp_pips': 5}",2602,39.54650269023828,0.38215850850450145,-11.672041809347023,-4159.000000005099,840.9999999949014,0.1
40,MACD,"{'macd_fast': 8, 'macd_slow': 17, 'macd_signal': 7, 'sl_pips': 3, 'tp_pips': 5}",2602,44.850115295926216,0.33150240309610085,-0.7213727967344631,-5354.999999994934,-354.9999999949341,0.1
41,MACD,"{'macd_fast': 8, 'macd_slow': 19, 'macd_signal': 5, 'sl_pips': 2, 'tp_pips': 5}",2640,39.166666666666664,0.3776479181881772,-11.632913407384407,-4260.000000005102,739.9999999948977,0.1
42,MACD,"{'macd_fast': 8, 'macd_slow': 19, 'macd_signal': 5, 'sl_pips': 3, 'tp_pips': 5}",2640,44.92424242424242,0.32906876614605085,-0.8274368274103996,-5453.9999999949305,-453.9999999949305,0.1
43,MACD,"{'macd_fast': 8, 'macd_slow': 19, 'macd_signal': 7, 'sl_pips': 2, 'tp_pips': 5}",2598,39.76135488837567,0.38120894530932586,-11.564554707452313,-4192.000000005173,807.9999999948268,0.1
44,MACD,"{'macd_fast': 8, 'macd_slow': 19, 'macd_signal': 7, 'sl_pips': 3, 'tp_pips': 5}",2598,44.45727482678984,0.3295306590614866,0.4283281693984152,-5406.9999999948595,-406.99999999485954,0.1
45,MACD,"{'macd_fast': 10, 'macd_slow': 17, 'macd_signal': 5, 'sl_pips': 2, 'tp_pips': 5}",2610,39.348659003831415,0.3786035537857519,-11.683174048001293,-4214.00000000508,785.9999999949196,0.1
46,MACD,"{'macd_fast': 10, 'macd_slow': 17, 'macd_signal': 5, 'sl_pips': 3, 'tp_pips': 5}",2610,44.78927203065134,0.32919640086891433,0.43732419013032986,-5404.999999994952,-404.9999999949523,0.1
47,MACD,"{'macd_fast': 10, 'macd_slow': 17, 'macd_signal': 7, 'sl_pips': 2, 'tp_pips': 5}",2575,40.077669902912625,0.3839571396678334,-11.51147438011795,-4139.500000005191,860.4999999948086,0.1
